Comment,Designator,Footprint,LCSC,Quantity
ESP32-S3-WROOM-1U-N8,U1,ESP32-S3-WROOM-1U_No_holes,C2980297,1
ATGM332D-5N71,U3,ATGM332D-5NR32,C46955987,1
LORA-CC68-433MHz-TCXO,U2,LORA-CC68-433MHz-TCXO,C5126744,1
